example_id                                     | status  | run_time        |
./spec/resources/aws_spec.rb[1:4:1:6]          | failed  | 0.0001 seconds  |
./spec/resources/aws_spec.rb[1:4:2]            | failed  | 0.00008 seconds |
./spec/resources/aws_spec.rb[1:4:3]            | failed  | 0.00008 seconds |
./spec/resources/aws_spec.rb[1:4:4]            | failed  | 0.00018 seconds |
./spec/resources/aws_spec.rb[1:4:5]            | failed  | 0.00018 seconds |
./spec/resources/aws_spec.rb[1:4:6]            | failed  | 0.0001 seconds  |
./spec/resources/aws_spec.rb[1:5:1:1]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:1:2]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:1:3]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:1:4]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:1:5]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:1:6]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:2]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:3]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:4]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:5:5]            | failed  | 0.00013 seconds |
./spec/resources/aws_spec.rb[1:5:6]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:1]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:2]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:3]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:4]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:5]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:1:6]          | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:2]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:3]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:6:4]            | failed  | 0.00013 seconds |
./spec/resources/aws_spec.rb[1:6:5]            | failed  | 0.00013 seconds |
./spec/resources/aws_spec.rb[1:6:6]            | failed  | 0.00003 seconds |
./spec/resources/aws_spec.rb[1:7:1:1]          | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:1:2]          | failed  | 0.00005 seconds |
./spec/resources/aws_spec.rb[1:7:1:3]          | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:1:4]          | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:1:5]          | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:1:6]          | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:2]            | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:7:3]            | failed  | 0.00014 seconds |
./spec/resources/aws_spec.rb[1:7:4]            | failed  | 0.00014 seconds |
./spec/resources/aws_spec.rb[1:7:5]            | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:8:1]            | failed  | 0.00005 seconds |
./spec/resources/aws_spec.rb[1:8:2]            | failed  | 0.00004 seconds |
./spec/resources/aws_spec.rb[1:9:1]            | failed  | 0.0002 seconds  |
./spec/resources/aws_spec.rb[1:9:2]            | failed  | 0.00012 seconds |
./spec/resources/aws_spec.rb[1:9:3]            | failed  | 0.00014 seconds |
./spec/resources/composition_spec.rb[1:1:1]    | failed  | 0.00005 seconds |
./spec/resources/composition_spec.rb[1:1:2]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:3]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:4]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:5]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:6]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:7]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:8]    | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:9]    | failed  | 0.00004 seconds |
